record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
190,Tarapacá,Tarapacá,1150.0,Lowland,Iluga Túmulos,M13,-,D-AMS 026410,Vegetal,Charcoal,1755,26,-,Santana et al. 2021,X,,,,1700,1540,1630,Lowlands
191,Tarapacá,Tarapacá,1150.0,Lowland,Iluga Túmulos,M14,-,D-AMS 026411,Vegetal,Charcoal,1877,28,-,Santana et al. 2021,X,,,,1830,1700,1770,Lowlands
192,Tarapacá,Juan Morales,2860.0,Precordillera,Jamajuga,R-5A,E1/NB,Beta-220921,Vegetal,Charcoal,800,50,-,Uribe et al. 2007 ,X,,,,770,570,690,Precordillera
193,Tarapacá,Arheic coast,20.0,Coast,Los Verdes-1,T-2,-,GX-21177,Human,Human soft tissue ,935,75,-8.8,Moragas 1995; Arriaza et al. 2008,,X,,,930,680,810,Coast
194,Tarapacá,Arheic coast,10.0,Coast,Los Verdes 9,E-1 ,N-30-40,Beta-256616,Vegetal,Wood ,810,50,-,Uribe et al. 2012 ,X,,,,790,570,700,Coast
195,Tarapacá,Llamara,1310.0,Lowland,M003,M-020-198,CF,UGAMS-20243,Sediment,Sediment,2060,20,-,Segura et al. 2021,,,X,,2040,1900,1960,Lowlands
196,Tarapacá,Tarapacá,2180.0,Precordillera,Mocha 1,-,-,Beta-,Vegetal,Charcoal,720,50,-,Moragas 1991,X,,,,720,550,630,Precordillera
197,Tarapacá,Tarapacá,2130.0,Precordillera,Mocha 2,T-2,-,OxA 39454,Vegetal,Gourd pericarp,626,17,-,Santana et al. 2021,,X,,,630,540,610,Precordillera
198,Tarapacá,Arheic coast,30.0,Coast,Punta Blanca,R-2/U-1,E-2A,Beta-256623,Vegetal,Charcoal,1520,40,-,Uribe et al. 2012 ,X,,,,1470,1300,1360,Coast
199,Tarapacá,Arheic coast,30.0,Coast,Punta Blanca,R-2/U-1,E-1,Beta-256620,Vegetal,Charcoal,1590,40,-,Uribe et al. 2012 ,X,,,,1530,1350,1440,Coast
200,Tarapacá,Arheic coast,30.0,Coast,Patillo 2,P-2563,5.48.14.2483,DRI_3444,Vegetal,Wood,3504,83,-,"Arriaza 1998 ms., in Montt 2014",,X,,,3970,3490,3740,Coast
201,Tarapacá,Arheic coast,30.0,Coast,Patillo 2,P-2569,"Inf 1, Cjto 1, Ind 2",DRI_3335,Vegetal,Mat,3484,80,-,"Arriaza 1998 ms., in Montt 2014",,X,,,3960,3490,3710,Coast
202,Tarapacá,Arheic coast,30.0,Coast,Patillo 2,P-2569,"Inf 2, Cjto 1, Ind 3",DRI_3335,Vegetal,Mat,3484,80,-,"Arriaza 1998 ms., in Montt 2014",,X,,,3960,3490,3710,Coast
203,Tarapacá,Arheic coast,20.0,Coast,Patillo 4 ,N-10 ,-,Beta-192971 ,Vegetal,Seeds,7530,70,-,Núñez and Santoro 2011,X,,,,8420,8060,8290,Coast
204,Tarapacá,Arheic coast,20.0,Coast,Patillo 4 ,N-3 ,-,Beta-192970 ,Vegetal,Seeds,7170,40,-,Núñez and Santoro 2011; Gayó et al. 2015,X,,,,8030,7850,7960,Coast
205,Tarapacá,C. de la Costa,1120.0,Lowland,Pan de Azucar 2,E-3,-,Beta-150708 ,Coprolite,Camelid Coprolite,450,40,-,Briones et al. 2005 ,X,,,,530,330,470,Lowlands
206,Tarapacá,Arheic coast,20.0,Coast,Pabellón de Pica 1,E-1,N-60-70,Beta-256617,Vegetal,Maize ,600,50,-,Núñez and Santoro 2011; Gayó et al. 2015,X,,,,650,510,560,Coast
207,Tarapacá,Arheic coast,20.0,Coast,Patache A ,E-I ,-,GX-22428 ,Vegetal,Charcoal,1625,70,-,Urbina et al. 2011,X,,,,1690,1310,1470,Coast
208,Tarapacá,Arheic coast,30.0,Coast,Patache E ,E-I ,-,GX-22429 ,Vegetal,Wood ,3715,90,-,"Moragas 2008 C.P., in Gayó et al. 2015",X,,,,4350,3720,4020,Coast
209,Tarapacá,Arheic coast,30.0,Coast,Patache E ,E-IV ,-,GX-22430 ,Vegetal,Charcoal,3880,105,-,"Moragas 2007 C.P., in Gayó et al. 2015",X,,,,4530,3920,4250,Coast
