site_name,lat,lon,altitude_masl,locality,admin_region,ecozone,period,period_from,period_to
Azapa 6 (AZ-6),-18.5222,-70.1543,360.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Middle Horizon (Northern Chile),500.0,900.0
Azapa 6 (Az-6),-18.5222,-70.1543,360.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period (Northern Chile),1054.0,1222.0
Azapa 70,-18.517798,-70.174663,281.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Early Formative (Northern Chile),-1500.0,-500.0
Azapa 70 (AZ-70),-18.517798,-70.174663,281.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Middle Formative Period (Northern Chile),-500.0,100.0
Azapa 71,-18.518711,-70.172905,296.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Early Formative (Northern Chile),-1500.0,-500.0
Azapa 71 (AZ-71),-18.518711,-70.172905,296.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period (Northern Chile),1000.0,1450.0
Azapa 71a (Az-71a),-18.518711,-70.172905,296.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Period (Northern Chile),1462.0,1629.0
Azapa 71b (Az-71b),-18.518711,-70.172905,296.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period (Northern Chile),1272.0,1380.0
Azapa 75,-18.5242,-70.1907,272.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Formative (Northern Chile),-500.0,100.0
Azapa 75 (AZ-75),-18.5242323,-70.187611,280.0,"Alto de Ramirez, Lower Azapa Valley",Arica y Parinacota,Lowlands,Middle Formative Period (Northern Chile),-1000.0,100.0
Azapa 76 (AZ-76),-18.5242,-70.1907,272.0,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands,Late Intermediate Period (Northern Chile),1000.0,1450.0
